ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,Age,AgeCategory,PrimaryOrMetastasis,SampleCollectionSite,ModelType,GrowthPattern,TissueOrigin
ACH-002214,BC-1,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,PEL,Male,46.0,Adult,Primary,peritoneum,Cell Line,Suspension,
ACH-002215,BC-3,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,PEL,Male,85.0,Adult,,pleural_effusion,Cell Line,Suspension,
ACH-002283,NB5,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Female,2.0,Pediatric,Metastatic,central_nervous_system,Cell Line,Adherent,
ACH-002290,NKM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,33.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002291,NTERA-2 cl.D1,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,EMBCA,Male,22.0,Adult,Metastatic,lung,Cell Line,Adherent,
ACH-002399,21NT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,36.0,Adult,Primary,breast,Cell Line,Adherent,
ACH-002400,21MT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,37.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002401,21MT-2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,37.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002433,CCLF_PEDS_0019_T,Bone,Osteosarcoma,Osteosarcoma,OS,Male,,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-002435,CCLF_PEDS_0022_T,Kidney,Wilms' Tumor,Wilms' Tumor,WT,Male,0.0,Pediatric,Primary,kidney,Cell Line,Adherent,
ACH-002438,CCLF_PEDS_0026_T,Kidney,Wilms' Tumor,Wilms' Tumor,WT,Male,4.0,Pediatric,Metastatic,liver,Cell Line,Adherent,
ACH-002446,CCLF_UPGI_0005_T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD,Male,70.0,Adult,Metastatic,pleural_cavity,Cell Line,Adherent,
ACH-002458,HT-144_DAB_R,Skin,Melanoma,Melanoma,MEL,Male,29.0,Adult,Metastatic,skin,Cell Line,Adherent,
ACH-002459,HT-144_DAB_TRAM_R,Skin,Melanoma,Melanoma,MEL,Male,29.0,Adult,Metastatic,skin,Cell Line,Adherent,
ACH-002460,HT-144_DAB_ROX_R,Skin,Melanoma,Melanoma,MEL,Male,29.0,Adult,Metastatic,skin,Cell Line,Adherent,
ACH-002463,RPE1-ss77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,Female,,Unknown,,eye,Cell Line,Adherent,
ACH-002464,RPE1-ss6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,Female,,Unknown,,eye,Cell Line,Adherent,
ACH-002465,RPE1-ss119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,Female,,Unknown,,eye,Cell Line,Adherent,
ACH-002470,OS186,Bone,Osteosarcoma,Osteosarcoma,OS,Male,13.0,Pediatric,Metastatic,bone,Cell Line,Adherent,
ACH-002471,OS052,Bone,Osteosarcoma,Osteosarcoma,OS,Female,17.0,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-002475,HAP1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1,Male,40.0,Adult,,bone_marrow,Cell Line,Adherent,
ACH-002478,BC-2,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,PEL,Male,31.0,Adult,Primary,pleural_effusion,Cell Line,Suspension,
ACH-002485,MAVER-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL,Male,82.0,Adult,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002486,MES-OV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC,Female,53.0,Adult,Primary,ascites,Cell Line,Adherent,
ACH-002490,NCI-H1882,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,59.0,Adult,Metastatic,bone_marrow,Cell Line,Adherent,
ACH-002497,NCI-H920,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,43.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-002498,SU-DHL-2,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,ABC,Female,73.0,Adult,Metastatic,pleural_effusion,Cell Line,Suspension,
ACH-002499,UACC-3199,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,58.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-002500,Z-138,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL,Male,70.0,Adult,,bone_marrow,Cell Line,Suspension,
ACH-002501,RMZ,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS,Male,3.0,Pediatric,Metastatic,bone_marrow,Cell Line,Adherent,
ACH-002508,WM3211,Skin,Melanoma,Acral Melanoma,ACRM,Female,34.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-002510,M040416,Skin,Melanoma,Acral Melanoma,ACRM,Male,54.0,Adult,Metastatic,skin,Cell Line,Adherent,
ACH-002511,M104325,Skin,Melanoma,Melanoma,MEL,Female,64.0,Adult,Primary,skin,Cell Line,Adherent,
ACH-002512,MM160113,Skin,Melanoma,Acral Melanoma,ACRM,Male,86.0,Adult,Metastatic,skin,Cell Line,Adherent,
ACH-002522,SNU-2292,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,39.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002523,SNU-739,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,Male,52.0,Adult,Primary,liver,Cell Line,Adherent,
ACH-002524,SNU-251,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,EOV,Female,47.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-002526,SNU-1327,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,84.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002528,SNU-267,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,Male,43.0,Adult,Primary,kidney,Cell Line,Adherent,
ACH-002531,SNU-2535,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,57.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002532,SNU-1411,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ,Male,42.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002533,SNU-482,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC,Male,37.0,Adult,Primary,kidney,Cell Line,Adherent,
ACH-002535,SNU-254,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ,Female,61.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002538,SNU-1235,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Female,68.0,Adult,,Colon,Cell Line,Adherent,
ACH-002539,SNU-1460,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,25.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002543,SNU-1406,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Female,59.0,Adult,Primary,Colon,Cell Line,Suspension,
ACH-002544,SNU-1750,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD,Male,65.0,Adult,Primary,stomach,Cell Line,Adherent,
ACH-002643,GRANTA-452,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Unknown,,Unknown,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002644,MEGAL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",AMLNOS,Female,,Unknown,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002647,CCC-5,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Cholangiocarcinoma,CHOL,Male,59.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002648,CX-03,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS,Female,49.0,Adult,,endometrium,Cell Line,Adherent,
ACH-002650,ETCC-016,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,53.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002651,FKH-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,61.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002653,JIH-5,Myeloid,Acute Leukemias of Ambiguous Lineage,Acute Leukemias of Ambiguous Lineage,ALAL,Female,21.0,Adult,,bone_marrow,Cell Line,Suspension,
