ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,Age,AgeCategory,PrimaryOrMetastasis,SampleCollectionSite,ModelType,GrowthPattern,TissueOrigin
ACH-000001,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,60.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",AMLNOS,Male,30.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000005,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,30.0,Adult,,bone_marrow,Cell Line,Mixed,
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,63.0,Adult,Primary,large_intestine,Cell Line,Adherent,
ACH-000008,A101D,Skin,Melanoma,Melanoma,MEL,Male,56.0,Adult,Primary,skin,Cell Line,Adherent,
ACH-000009,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,72.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,Male,53.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,39.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,60.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000014,Hs 294T,Skin,Melanoma,Melanoma,MEL,Male,56.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,Male,44.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000017,SK-BR-3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,43.0,Adult,Metastatic,pleural_effusion,Cell Line,Mixed,
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,Female,82.0,Adult,Primary,urinary_tract,Cell Line,Adherent,
ACH-000019,MCF-7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,69.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,55.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,64.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,64.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-000024,OPM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM,Female,56.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,Meningioma,MNG,Female,41.0,Adult,Primary,central_nervous_system,Cell Line,Mixed,
ACH-000028,KPL-1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,69.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000029,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,39.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,45.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Male,27.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000036,U343,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Male,64.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000037,S-117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",SARCNOS,Female,47.0,Adult,,soft_tissue,Cell Line,Adherent,
ACH-000039,SK-N-MC,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Female,14.0,Pediatric,Metastatic,bone,Cell Line,Adherent,
ACH-000040,U-118 MG,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",ASTR,Male,47.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000041,RD-ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Male,19.0,Adult,Primary,bone,Cell Line,Mixed,
ACH-000042,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,70.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000044,MDA-MB-134-VI,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC,Female,47.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000045,MV4-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,10.0,Pediatric,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000046,ACHN,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,PRCC,Male,22.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000048,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,EOV,Female,42.0,Adult,Primary,ovary,Cell Line,Adherent,
ACH-000050,NCI-H929,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM,Female,62.0,Adult,Metastatic,pleural_effusion,Cell Line,Suspension,
ACH-000052,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Female,15.0,Pediatric,Primary,soft_tissue,Cell Line,Adherent,
ACH-000053,KARPAS-299,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP,Male,25.0,Adult,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000054,HT-1080,Soft Tissue,Fibrosarcoma,Fibrosarcoma,FIBS,Male,35.0,Adult,Metastatic,soft_tissue,Cell Line,Adherent,
ACH-000059,SUP-B15,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Male,9.0,Pediatric,Primary,bone_marrow,Cell Line,Suspension,
ACH-000060,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,81.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000061,HH,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN,Male,61.0,Adult,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000062,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,,Unknown,Primary,lung,Cell Line,Adherent,
ACH-000068,REC-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL,Male,61.0,Adult,,lymph_node,Cell Line,Suspension,
ACH-000070,697,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Male,12.0,Pediatric,Primary,bone_marrow,Cell Line,Suspension,
ACH-000074,KU812,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1,Male,38.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Adherent,
ACH-000075,U-87 MG,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Male,44.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000076,NCO2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1,Female,35.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000077,MJ,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN,Male,50.0,Adult,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000078,MHH-NB-11,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Male,4.0,Pediatric,Metastatic,autonomic_ganglia,Cell Line,Mixed,
ACH-000080,BDCM,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL,Male,,Pediatric,,haematopoietic_and_lymphoid_tissue,Cell Line,Mixed,
ACH-000082,"G-292, clone A141B1",Bone,Osteosarcoma,Osteosarcoma,OS,Female,9.0,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-000085,T3M-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,64.0,Adult,Primary,lymph_node,Cell Line,Adherent,
ACH-000086,ACC-MESO-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO,Female,61.0,Adult,,pleura,Cell Line,Adherent,
ACH-000087,SK-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Male,18.0,Pediatric,Primary,bone,Cell Line,Mixed,
ACH-000090,PC-3,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,PRAD,Male,62.0,Adult,Metastatic,bone,Cell Line,Adherent,
ACH-000091,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC,Female,46.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000092,NCI-H2452,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",PLBMESO,Male,,Adult,Metastatic,pleura,Cell Line,Adherent,
ACH-000093,Panc 05.04,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,77.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000095,D341 Med,CNS/Brain,Embryonal Tumor,"Medulloblastoma, Group 3",MBLG3,Male,3.0,Pediatric,Primary,brain,Cell Line,Mixed,
ACH-000096,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT,Male,0.0,Pediatric,Primary,kidney,Cell Line,Adherent,
ACH-000097,ZR-75-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,63.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000098,GAMG,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Female,42.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000099,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Male,1.0,Pediatric,Primary,autonomic_ganglia,Cell Line,Adherent,
ACH-000101,KE-37,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,Male,27.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000104,Loucy,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,Female,38.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000108,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,PAASC,Male,75.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-000111,HCC1187,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,41.0,Adult,Primary,breast,Cell Line,Mixed,
ACH-000113,OCI-AML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,65.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000114,SU.86.86,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,57.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-000116,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,75.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000117,EFM-192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,46.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000118,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,66.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000120,CHP-212,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Male,1.0,Pediatric,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000123,COV434,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,SCCO,Female,26.0,Adult,Primary,ovary,Cell Line,Adherent,
ACH-000126,KG-1-C,CNS/Brain,Diffuse Glioma,"Glioma, NOS",GNOS,Male,13.0,Pediatric,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000127,SLR 20,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,Female,81.0,Adult,Primary,urinary_tract,Cell Line,Adherent,
ACH-000128,LN-319,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",ASTR,Male,67.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000129,NCI-H1341,Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,,Female,26.0,Adult,Metastatic,cervix,Cell Line,Suspension,
ACH-000132,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,45.0,Adult,Primary,ovary,Cell Line,Adherent,
ACH-000133,Hs 729,Fibroblast,Non-Cancerous,Fibroblast,,Male,74.0,Adult,Primary,Unknown,Cell Line,Adherent,
ACH-000137,8-MG-BA,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Female,54.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000139,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,65.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000141,SNU-308,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",GBAD,Unknown,,Unknown,Primary,biliary_tract,Cell Line,Adherent,
ACH-000142,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,Female,80.0,Adult,Primary,urinary_tract,Cell Line,Adherent,
ACH-000143,HCC2429,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,Female,34.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000144,RERF-GC-1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD,Male,41.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000145,SK-LMS-1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS,Female,43.0,Adult,Primary,soft_tissue,Cell Line,Adherent,
ACH-000146,THP-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,1.0,Pediatric,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000147,T-47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,54.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000148,Hs 578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCNOS,Female,74.0,Adult,Primary,breast,Cell Line,Adherent,
ACH-000150,HCC2935,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,39.0,Adult,Primary,pleural_effusion,Cell Line,Adherent,
ACH-000151,JM1,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Male,,Pediatric,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000152,M059K,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Male,33.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000153,NCI-H2052,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",PLSMESO,Male,65.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000155,SW 1990,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,56.0,Adult,Primary,spleen,Cell Line,Adherent,
ACH-000159,OS-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,Male,52.0,Adult,Primary,kidney,Cell Line,Adherent,
ACH-000160,BT-12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT,Female,0.0,Pediatric,Primary,brain,Cell Line,Adherent,
ACH-000163,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,HNSC,Male,59.0,Adult,Primary,thyroid,Cell Line,Adherent,
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,56.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000166,Kasumi-6,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,64.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000167,KE-97,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM,Male,52.0,Adult,Metastatic,abdomen,Cell Line,Mixed,
ACH-000168,NOMO-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL,Female,31.0,Adult,Primary,bone_marrow,Cell Line,Suspension,
ACH-000169,RD,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS,Female,7.0,Pediatric,Primary,soft_tissue,Cell Line,Adherent,
ACH-000172,TM-87,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,,Male,1.0,Pediatric,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000174,CAL-62,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP,Female,70.0,Adult,Primary,pleural_effusion,Cell Line,Adherent,
ACH-000179,NCI-H1618,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Female,55.0,Adult,Metastatic,bone_marrow,Cell Line,Suspension,
ACH-000182,SNU-869,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,AMPCA,Unknown,,Unknown,Primary,biliary_tract,Cell Line,Mixed,
ACH-000183,L-363,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM,Female,36.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000187,COR-L311,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,63.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-000188,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Male,70.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-000189,RCC10RGB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC,Male,,Unknown,Primary,kidney,Cell Line,Adherent,
ACH-000190,HD-MY-Z,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,29.0,Adult,,pleural_effusion,Cell Line,Adherent,
ACH-000191,BHT-101,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP,Female,63.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000192,MFE-280,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC,Female,77.0,Adult,Primary,endometrium,Cell Line,Adherent,
ACH-000195,Set-2,Myeloid,Acute Myeloid Leukemia,"AML, NOS",AMLNOS,Female,71.0,Adult,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000196,HCC1599,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,44.0,Adult,Primary,breast,Cell Line,Suspension,
ACH-000198,EOL-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,33.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000200,NMC-G1,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Female,,Unknown,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000201,A-204,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT,Female,1.0,Pediatric,Primary,soft_tissue,Cell Line,Adherent,
ACH-000202,COLO-320,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Female,55.0,Adult,Primary,large_intestine,Cell Line,Adherent,
ACH-000203,NH-6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Female,0.0,Pediatric,Metastatic,autonomic_ganglia,Cell Line,Adherent,
ACH-000204,LP-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM,Female,56.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Mixed,
ACH-000206,C8166,Lymphoid,Non-Cancerous,"Transformed cell line, B lymphoblast",,Male,0.0,Fetus,,B lymphoblastoid cells,Cell Line,Suspension,
ACH-000207,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,OPHSC,Female,,Unknown,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000210,CADO-ES1,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Female,19.0,Adult,Metastatic,pleural_effusion,Cell Line,Suspension,
ACH-000211,Daoy,CNS/Brain,Embryonal Tumor,"Medulloblastoma, NOS",MBLNOS,Male,4.0,Pediatric,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000212,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,43.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000215,LN382,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Male,67.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000216,JH-EsoAd1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESCA,Male,66.0,Adult,,oesophagus,Cell Line,Adherent,
ACH-000217,JHH-6,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,Female,57.0,Adult,Primary,liver,Cell Line,Adherent,
ACH-000219,A-375,Skin,Melanoma,Melanoma,MEL,Female,54.0,Adult,Primary,skin,Cell Line,Adherent,
ACH-000221,SNU-398,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,Male,42.0,Adult,Primary,liver,Cell Line,Adherent,
ACH-000222,AsPC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,62.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,Female,24.0,Adult,Primary,breast,Cell Line,Adherent,
ACH-000226,SUP-M2,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP,Female,5.0,Pediatric,,central_nervous_system,Cell Line,Suspension,
ACH-000227,KP-N-YN,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Male,2.0,Pediatric,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000228,BICR 31,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Male,,Unknown,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-000231,KALS-1,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Female,74.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000232,U-251 MG,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",ASTR,Male,75.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000233,DEL,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP,Male,12.0,Pediatric,,pleural_effusion,Cell Line,Suspension,
ACH-000234,Caki-2,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,PRCC,Male,69.0,Adult,Primary,kidney,Cell Line,Adherent,
ACH-000235,Panc 04.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,70.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000237,JHOM-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MOV,Female,88.0,Adult,Primary,ovary,Cell Line,Adherent,
ACH-000238,SCC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Male,55.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-000243,DAN-G,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,68.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-000244,DK-MG,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Female,67.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000247,OCUM-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD,Female,38.0,Adult,Metastatic,stomach,Cell Line,Mixed,
ACH-000248,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,43.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000249,CL-11,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,,Unknown,Primary,Colon,Cell Line,Adherent,
ACH-000250,KMRC-20,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,Unknown,,Unknown,Primary,kidney,Cell Line,Adherent,
ACH-000251,NCI-H2887,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Male,31.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000253,COLO 201,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,70.0,Adult,Metastatic,ascites,Cell Line,Mixed,
ACH-000256,COV318,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,,Unknown,Metastatic,ascites,Cell Line,Adherent,
ACH-000257,COR-L279,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,63.0,Adult,Metastatic,lymph_node,Cell Line,Mixed,
ACH-000258,Du4475,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,62.0,Adult,Metastatic,skin,Cell Line,Suspension,
